

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.569606  [ 2784/11955]
loss: 1.443115  [ 2800/11955]
loss: 1.276098  [ 2816/11955]
loss: 1.368353  [ 2832/11955]
loss: 1.460559  [ 2848/11955]
loss: 1.337974  [ 2864/11955]
loss: 1.269289  [ 2880/11955]
loss: 1.510493  [ 2896/11955]
loss: 1.294497  [ 2912/11955]
loss: 1.455433  [ 2928/11955]
loss: 1.236764  [ 2944/11955]
loss: 1.342352  [ 2960/11955]
loss: 1.291494  [ 2976/11955]
loss: 1.515268  [ 2992/11955]
loss: 1.336463  [ 3008/11955]
loss: 1.503840  [ 3024/11955]
loss: 1.411638  [ 3040/11955]
loss: 1.387218  [ 3056/11955]
loss: 1.138176  [ 3072/11955]
loss: 1.256443  [ 3088/11955]
loss: 1.375785  [ 3104/11955]
loss: 1.371385  [ 3120/11955]
loss: 1.310510  [ 3136/11955]
loss: 1.397649  [ 3152/11955]
loss: 1.262174  [ 3168/11955]
loss: 1.232306  [ 3184/11955]
loss: 1.364403  [ 3200/11955]
loss: 1.354475  [ 3216/11955]
loss: 1.214983  [ 3232/11955]
loss: 1.316206  [ 3248/11955]
loss: 1.358647  [ 3264/11955]
loss: 1.318856  [ 3280/11955]
loss: 1.328443  [ 3296/11955]
loss: 1.380641  [ 3312/11955]
loss: 1.361848  [ 3328/11955]
loss: 1.285144  [ 3344/11955]
loss: 1.384474  [ 3360/11955]
loss: 1.196917  [ 3376/11955]
loss: 1.240367  [ 3392/11955]
loss: 1.340020  [ 3408/11955]
loss: 1.491874  [ 3424/11955]
loss: 1.192106  [ 3440/11955]
loss: 1.275989  [ 3456/11955]
loss: 1.191153  [ 3472/11955]
loss: 1.526281  [ 3488/11955]
loss: 1.373305  [ 3504/11955]
loss: 1.287255  [ 3520/11955]
loss: 1.295201  [ 3536/11955]
loss: 1.442744  [ 3552/11955]
loss: 1.395804  [ 3568/11955]
loss: 1.287222  [ 3584/11955]
loss: 1.299800  [ 3600/11955]
loss: 1.294644  [ 3616/11955]
loss: 1.444545  [ 3632/11955]
loss: 1.266320  [ 3648/11955]
loss: 1.175336  [ 3664/11955]
loss: 1.456916  [ 3680/11955]
loss: 1.285640  [ 3696/11955]
loss: 1.403697  [ 3712/11955]
loss: 1.259459  [ 3728/11955]
loss: 1.484532  [ 3744/11955]
loss: 1.322500  [ 3760/11955]
loss: 1.463669  [ 3776/11955]
loss: 1.222007  [ 3792/11955]
loss: 1.427555  [ 3808/11955]
loss: 1.302284  [ 3824/11955]
loss: 1.422585  [ 3840/11955]
loss: 1.289124  [ 3856/11955]
loss: 1.273097  [ 3872/11955]
loss: 1.233829  [ 3888/11955]
loss: 1.422531  [ 3904/11955]
loss: 1.229748  [ 3920/11955]
loss: 1.297796  [ 3936/11955]
loss: 1.374482  [ 3952/11955]
loss: 1.191687  [ 3968/11955]
loss: 1.408135  [ 3984/11955]
loss: 1.376355  [ 4000/11955]
loss: 1.357972  [ 4016/11955]
loss: 1.287763  [ 4032/11955]
loss: 1.243275  [ 4048/11955]
loss: 1.441356  [ 4064/11955]
loss: 1.182934  [ 4080/11955]
loss: 1.366315  [ 4096/11955]
loss: 1.552645  [ 4112/11955]
loss: 1.346408  [ 4128/11955]
loss: 1.271864  [ 4144/11955]
loss: 1.246394  [ 4160/11955]
loss: 1.417348  [ 4176/11955]
loss: 1.271284  [ 4192/11955]
loss: 1.381220  [ 4208/11955]
loss: 1.345664  [ 4224/11955]
loss: 1.310722  [ 4240/11955]
loss: 1.272568  [ 4256/11955]
loss: 1.358219  [ 4272/11955]
loss: 1.249422  [ 4288/11955]
loss: 1.283003  [ 4304/11955]
loss: 1.215337  [ 4320/11955]
loss: 1.415058  [ 4336/11955]
loss: 1.383419  [ 4352/11955]
