

Running new training session...
Logs from 2023-04-25

Epoch 1
-------------------------------
loss: 1.478445  [11888/11955]
loss: 1.393350  [11904/11955]
loss: 1.315404  [11920/11955]
loss: 1.360964  [11936/11955]
loss: 1.466400  [11952/11955]
loss: 1.098724  [11968/11955]

----- Starting test loop -----
Test Error: 
 Accuracy: 41.8%, Avg loss: 1.615006 
Epoch 2
-------------------------------
loss: 1.341301  [   16/11955]
loss: 1.383045  [   32/11955]
loss: 1.235045  [   48/11955]
loss: 1.358579  [   64/11955]
loss: 1.517915  [   80/11955]
loss: 1.305850  [   96/11955]
loss: 1.392619  [  112/11955]
loss: 1.279898  [  128/11955]
loss: 1.178066  [  144/11955]
loss: 1.476194  [  160/11955]
loss: 1.467425  [  176/11955]
loss: 1.308651  [  192/11955]
loss: 1.294649  [  208/11955]
loss: 1.401753  [  224/11955]
loss: 1.280098  [  240/11955]
loss: 1.334722  [  256/11955]
loss: 1.475174  [  272/11955]
loss: 1.266389  [  288/11955]
loss: 1.279997  [  304/11955]
loss: 1.149771  [  320/11955]
loss: 1.292687  [  336/11955]
loss: 1.270427  [  352/11955]
loss: 1.277839  [  368/11955]
loss: 1.313266  [  384/11955]
loss: 1.345515  [  400/11955]
loss: 1.497266  [  416/11955]
loss: 1.652805  [  432/11955]
loss: 1.385686  [  448/11955]
loss: 1.306581  [  464/11955]
loss: 1.424012  [  480/11955]
loss: 1.331689  [  496/11955]
loss: 1.287316  [  512/11955]
loss: 1.417453  [  528/11955]
loss: 1.202887  [  544/11955]
loss: 1.199256  [  560/11955]
loss: 1.437396  [  576/11955]
loss: 1.445856  [  592/11955]
loss: 1.289227  [  608/11955]
loss: 1.221430  [  624/11955]
loss: 1.457202  [  640/11955]
loss: 1.241336  [  656/11955]
loss: 1.450336  [  672/11955]
loss: 1.236548  [  688/11955]
loss: 1.308518  [  704/11955]
loss: 1.213750  [  720/11955]
loss: 1.248988  [  736/11955]
loss: 1.371124  [  752/11955]
loss: 1.336462  [  768/11955]
loss: 1.159618  [  784/11955]
loss: 1.362073  [  800/11955]
loss: 1.283573  [  816/11955]
loss: 1.280176  [  832/11955]
loss: 1.299937  [  848/11955]
loss: 1.499321  [  864/11955]
loss: 1.410436  [  880/11955]
loss: 1.511697  [  896/11955]
loss: 1.218331  [  912/11955]
loss: 1.363558  [  928/11955]
